11 15
菜鸟驿站 旭日苑 体育馆 医务室 图书馆 银杏林 大学生活动中心 实验楼 邮政快递 西门 正门
9999 50 9999 9999 9999 9999 9999 9999 9999 9999 9999
50 9999 400 500 9999 9999 9999 9999 9999 9999 9999
9999 400 9999 9999 300  9999 9999 9999 9999 9999 9999
9999 500 9999 9999 9999 400 9999 9999 9999 9999 9999
9999 9999 300 9999 9999 150 600 9999 9999 9999 9999
9999 9999 9999 400 150 9999 9999 50 9999 9999 9999
9999 9999 9999 9999 600 9999 9999 400 400 9999 9999
9999 9999 9999 9999 9999 50 400 9999 500 9999 900
9999 9999 9999 9999 9999 9999 400 500 9999 50 200
9999 9999 9999 9999 9999 9999 9999 9999 50 9999 50
9999 9999 9999 9999 9999 9999 9999 900 200 50 9999
